COc1cc(cc(OC)c1O)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@H](\N=C\c2ccc(cc2)C(=O)O[C@@H](C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccccc4)[C@H]4[C@@](C)([C@@H](O)C[C@H]5OC[C@@]45OC(=O)C)C(=O)[C@H](OC(=O)C)C(=C2C)C3(C)C)[C@@H](NC(=O)c2ccccc2)c2ccccc2)c2cc3OCOc3cc12,1,1
COc1cc(\C=C\C(=O)CC(=O)\C=C\c2cc(OC)c(O)c(OC)c2)cc(OC)c1O,1,-1
Brc1ccc2[nH]cc(-c3csc(n3)-c3c[nH]c4ccc(Br)cc34)c2c1,-1,-1
CSc1ccccc1P(CCP(c1ccccc1SC)c1ccccc1SC)c1ccccc1SC,1,1
O=C1N(CCCNCCCCNCCCN2C(=O)c3cccc4cccc(C2=O)c34)C(=O)c2cccc3cccc1c23,1,-1
O=C1N(CCCNCCCCNCCCNCCCN2C(=O)c3cccc4cccc(C2=O)c34)C(=O)c2cccc3cccc1c23,1,1
Cc1c(sc2ccc(Cl)cc12)S(=O)(=O)\N=C(/NN)Nc1ccc(Cl)cc1,-1,-1
CN1CCN(CC1)c1ccc2nc([nH]c2n1)C1=C(O)C(=O)c2c(nc(CCl)n2C)C1=O,1,1
COc1cc2CC[n+]3cc4cc(OC)c(OC)cc4c(c1)c23,1,1
CO[C@@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@@H](OC)[C@H](OC(=O)N)\C(C)=C\[C@@H](C)[C@@H]1O)C2=O,1,1
CN(C)c1ccc(\C=c2/c3cc(C)[n+](C)n3c3ccccc23)cc1,1,1
CN(C)c1ccc(\C=c2/c3cc(\C=C\c4ccccc4)[n+](C)n3c3ccccc23)cc1,1,1
COC(C)(C)OCCN1CCN(CCN2C3=C(Sc4ccccc24)C=C(C3)C(C)=O)CC1,-1,1
NC(=O)NC(=O)c1cccc(NC(=O)CBr)c1,-1,-1
NC(=O)NC(=O)c1ccc(NC(=O)CBr)cc1,-1,-1
CC(O)CC(=O)CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H]2NC(=O)c3c(O)c4OCOc4cc3[C@@H]12,1,1
COc1ccc-2c(c1)C(=O)C(=O)c1cc(O)c(OC)c(OC)c-21,-1,-1
CCOC(=O)N(C)CCC1CC=CC(=O)C1c1cccc(OC)c1OC,-1,-1
NC(=N)N\N=C\c1c(nc2sccn12)-c1ccc(cc1)N(=O)=O,1,-1
NC(=N)N\N=C\c1c(nc2SCCn12)-c1ccc(cc1)N(=O)=O,1,-1
NC(=N)N\N=C\c1nc2SCCn2c1N(=O)=O,1,-1
CN1CSC(=S)N(C1)c1c2ccccc2nc2ccc(Br)cc12,-1,-1
COc1ccc(cc1)C1=Cn2c(nc3ccccc23)C(=C)N1c1ccc(OCCN2CCOCC2)cc1,-1,1
Clc1ccc(cc1)C1=NN=C2N(C1)c1ccccc1N=C2c1ccccc1,-1,-1
C(NC1CC(CC(C1)NCc1ccccn1)NCc1ccccn1)c1ccccn1,1,1
CC[C@H](C)[C@H](O)C(=O)OC1COC(OC2C[C@H](O)CC3=CC[C@H]4[C@@H]5CC6O[C@]7(CCC(=C)CO7)[C@@H](C)C6[C@@]5(C)CC[C@@H]4[C@@]23C)C(OC2OC(C)C(O)C(O)C2O)C1OC(C)=O,-1,-1
Nc1ccc(cc1I)-c1nc2cc(F)ccc2s1,-1,-1
COc1cc(OCc2nc3ccccc3n3cccc23)cc(OC)c1OC,-1,-1
CN(C)CCn1nc2c3c1ccc(C(=O)NCCCN(C)CCCNC(=O)c1ccc4n(CCN(C)C)nc5c4c1[nH]c1ccccc51)c3[nH]c1ccccc21,1,1
COc1ccc2[nH]c3c(ccc4n(CCN(C)C)nc(c34)c2c1)C(=O)NCCCN(C)CCCNC(=O)c1ccc2n(CCN(C)C)nc3c2c1[nH]c1ccc(OC)cc31,1,1
COc1ccc2Nc3c(Cc2c1)c(NCCN(C)C)ccc3C(=O)NCCCN(C)CCCNC(=O)c1ccc(NCCN(C)C)c2Cc3cc(OC)ccc3Nc12,1,1
CN(C)CCNC(=O)c1ccc(NCCCN(C)CCCNc2ccc(C(=O)NCCN(C)C)c3[nH]c4ccccc4c(=O)c23)c2c1[nH]c1ccccc1c2=O,1,1
CN(C)CCNC(=O)c1ccc(NCCCN(C)CCCNc2ccc(C(=O)NCCN(C)C)c3[nH]c4ccc(cc4c(=O)c23)N(=O)=O)c2c1[nH]c1ccc(cc1c2=O)N(=O)=O,1,1
CC1CNC(=N1)c1cccc(c1)-c1nc(nc(n1)-c1cccc(c1)C1=NC(C)CN1)N(C)C,1,1
CC1CNC(=N1)c1ccc(cc1)-c1nc(nc(n1)-c1ccc(cc1)C1=NC(C)CN1)N(C)C,1,1
CN(C)C=C1C(=O)c2c(Br)sc(Br)c2C1=O,-1,-1
CCN(CC)CCCNc1nnc(C)c2[nH]c3ccccc3c12,1,1
FC(F)(F)C(=O)c1cc2C(=NC3(CCCCC3)Nc2c2ccccc12)C(F)(F)F,-1,-1
CC(=O)Nc1ccc2c3C(CCl)CN(C(=O)CCCCCC(=O)Nc4ccc5c6C(CCl)CN(C(=O)OC(C)(C)C)c6cc(O)c5c4)c3cc(O)c2c1,1,1
CC(=O)Nc1ccc2c3C(CCl)CN(C(=O)CCCCCCC(=O)Nc4ccc5c6C(CCl)CN(C(=O)OC(C)(C)C)c6cc(O)c5c4)c3cc(O)c2c1,1,1
CC(=O)Nc1ccc2c3C(CCl)CN(C(=O)CCCC(=O)N4CC(CCl)c5c4cc(O)c4cc(NC(C)=O)ccc54)c3cc(O)c2c1,1,1
CC(=O)Nc1ccc2c3C(CCl)CN(C(=O)CCCCCCC(=O)N4CC(CCl)c5c4cc(O)c4cc(NC(C)=O)ccc54)c3cc(O)c2c1,1,1
Cc1c2cccc2c(OCCO)cc2c3ccccc3n(C)c12,1,1
COc1ccc(\C=C2\C(N)=Nc3ccccc3N(C3OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C3OC(C)=O)C2=O)cc1,-1,1
Cc1nnc2S\C(=C/c3ccc4OCOc4c3)C(=Nn12)c1cc(F)c(Cl)cc1Cl,-1,-1
Cc1c2C(=O)N(CCSC(N)=N)C(=O)c2c(C)n1-c1ccccc1,-1,-1
COc1ccc(\C=C2/CC3C4CC=C5C[C@@H](O)CC[C@]5(C)C4CC[C@]3(C)C2=O)cc1OC,-1,-1
Clc1ccc(cc1)-c1nn2c(SCC=C)nnc2cc1CN1CCCC1,-1,-1
Cc1cc2n(C)c3ccc(F)cc3c3[n+](C)c4ccc(F)cc4c(c1)c23,1,1
CC[C@H](C)[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)C(C)=O)[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](OC(=O)C[C@@H]1O)C(C)C,1,1
C1CCC2N=C(NC2C1)c1ccc(cc1)-c1ccc(o1)-c1ccc(cc1)C1=NC2CCCCC2N1,1,-1
COc1ccccc1N1C(SCC1=O)c1cccc(Oc2ccccc2)c1,-1,-1
Clc1ccc(cc1)N1C(c2cccc(Oc3ccccc3)c2)S(=O)(=O)CC1=O,-1,-1
CCOC(=O)C(NC(=O)N(C1CCCCC1)C1=NCC(C)S1)(OC)C(F)(F)F,-1,-1
OC(=O)c1ccc(NC(=O)N\N=C\c2ccc(cc2)N(=O)=O)cc1,-1,-1
NS(=O)(=O)c1ccc(NC(=O)N\N=C\c2ccccc2N(=O)=O)cc1,-1,-1
OCCN(CCO)c1c(cc2[nH]c(=O)[nH]c2c1N(=O)=O)N(=O)=O,-1,-1
Clc1ccc(Cc2nc3cc(Cl)ccc3o2)cc1,-1,-1
COC1=CC(=O)C2=C([C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3CC2)C1=O,-1,-1
COC(=O)[C@]12CC[C@H]3CN([C@H]([C@@H]13)[C@@H](N2S(=O)(=O)c1ccc(C)cc1)c1ccco1)S(=O)(=O)c1ccc(C)cc1,-1,-1
Ic1ccc2nc(Sc3ccc(cc3N(=O)=O)N(=O)=O)n(Cc3ccccc3)c(=O)c2c1,-1,-1
COC(=O)[C@@]12OC[C@@]34[C@H]1[C@@H](OC(=O)C=C(C)C)C(=O)O[C@@H]3C[C@H]1C(C)=C(OC(C)=O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O,1,1
COc1ccc2c(c1)n1[n+](C)c(cc1\c2=C/c1ccc(cc1)N(C)C)-c1ccccc1,1,1
COc1cccc2c1\c(=C\c1ccc(cc1)N(C)C)c1cc(-c3ccccc3)[n+](C)n21,1,1
COc1cccc-2c1Cc1cc(-c3ccccc3)[n+](C)n-21,1,1
Oc1ccccc1N\C(=C/C(=O)C(Cl)(Cl)Cl)c1ccc(Br)cc1,-1,-1
CC(C)(C)SC1=CCC[C@H]([C@@H]2CCC[C@@H]12)P(=O)(c1ccccc1)c1ccccc1,-1,-1
OC(CC(c1ccccc1)c1ccc(Cl)cc1)c1ccc(Cl)cc1,-1,-1
COc1ccc(cc1)C1=NN(C(C1)c1ccccc1)C(N)=S,-1,-1
Oc1ccccc1\C=N\c1ccc(cc1)-c1nc2ccccc2s1,-1,-1
CN1CCCC(C1)OC(=O)c1cc2cc(CCl)ccc2oc1=O,-1,-1
